task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
composition-004,composition,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,253.0,completed,354,8557,611536,35433,647323,13885,0.1735,0.1043,2,160,11,800,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'AudioLessonsFixture' | xctest:12 executed, 8 passed, 4 failed, 0 skipped. Failing: AudioPlaybackContractTests/testFinishedLastLessonCanBePlayedAgainFromBeginning(), AudioPlaybackContractTests/testInterruptionNotificationPausesAndPersistsProgress(), AudioPlaybackContractTests/testReopeningLoadsTheSavedLessonAndSeeksBeforePlaying(), AudioLessonJourneysTests/testSeekingAndDiskReopenRetainCurrentLessonAndPosition() | xcuitest:3 executed, 2 passed, 1 failed, 0 skipped. Failing: AudioLessonsScreenTests/testRelaunchRestoresSavedLessonAndSeekPosition() | trajectory:The agent's recorded commands show the work behind the deliverable (12 command(s))",2026-09-19T135008-composition-004-opencode
composition-005,composition,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,404.5,completed,624,24298,1868440,67812,1936876,29125,0.4147,0.3090,2,493,27,800,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'ReadingInboxFixture' | xctest:6 executed, 2 passed, 4 failed, 0 skipped. Failing: ReadingInboxWorkflowTests/testDeletingArticleOnlyRemovesItsOwnCachedHTML(), ReadingInboxWorkflowTests/testDuplicateURLUpdatesTagsSearchAndArchiveWithoutSecondRecord(), ReadingInboxWorkflowTests/testFetchCachesPersistsAndReopensArticleWhileOffline(), ReadingInboxWorkflowTests/testReaddingCanonicalURLRefreshesCachedBodyInsteadOfLeavingStaleReading() | xcuitest:4 executed, 0 passed, 4 failed, 0 skipped. Failing: ReadingInboxFlowTests/testCachedArticleBodyRemainsReadableAfterRelaunchAndOffline(), ReadingInboxFlowTests/testFailedImportRetriesTheSameSubmittedURL(), ReadingInboxFlowTests/testSearchArchiveAndDeleteSavedReading(), ReadingInboxFlowTests/testSharedSavedLinkReopensCachedArticleFromColdLaunch() | trajectory:The agent's recorded commands show the work behind the deliverable (20 command(s))",2026-09-19T135425-composition-005-opencode
concurrency-001,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,100.4,completed,58,966,36947,10520,47525,1729,0.0253,0.0086,1,1,3,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T110851-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,178.9,completed,249,7490,320729,27645,348623,9240,0.1118,0.0698,196,1755,5,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-19T111032-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,86.8,completed,58,1145,37521,10920,48499,2030,0.0273,0.0095,1,1,1,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T111332-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,91.1,completed,138,3197,105761,14921,120820,4422,0.0508,0.0267,2,102,9,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-19T111500-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,190.9,completed,134,2047,111764,15559,127457,3170,0.0459,0.0215,192,1584,4,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T111631-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,100.9,completed,164,2293,181390,21285,202839,4304,0.0656,0.0298,192,1581,1,100,100,build=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-19T111943-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,88.5,completed,150,2183,117102,14697,131949,3509,0.0470,0.0228,3,9,13,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency007Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T112125-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,false,115.5,completed,58,1100,36450,10600,47108,1887,0.0261,0.0092,1,2,1,114,,build=F;xctest=F;runtime=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'ConcurrencyCancellationFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: WorkLoop.swift: errors thrown from here are not handled | runtime:App failed to build for runtime verification | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T112254-concurrency-008-opencode
concurrency-009,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,true,125.3,completed,111,1748,88004,14296,102411,2953,0.0410,0.0177,1,6,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency009Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-19T112454-concurrency-009-opencode
concurrency-010,frameworks,10,opencode,anthropic/claude-haiku-4-5-20251001,max,false,135.9,completed,219,6449,263841,25697,289757,9556,0.1054,0.0588,3,84,6,133,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency010Fixture' | xctest:9 executed, 7 passed, 2 failed, 0 skipped. Failing: LegacyRequestBridgeTests/testCancellationBeforeHandleInstallationCancelsTheHandleWhenItArrives(), LegacyRequestBridgeTests/testTaskCancelledBeforeEnteringTheBridgeStillSettles() | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s))",2026-09-19T112700-concurrency-010-opencode
concurrency-011,frameworks,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,156.7,completed,159,2811,158216,21578,179953,10612,0.0952,0.0300,194,1650,7,160,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency011Fixture' | xctest:5 executed, 4 passed, 1 failed, 0 skipped. Failing: BatchLoaderTests/testFailureCancelsSiblingsAndDoesNotAdmitAnotherWindow() | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T112917-concurrency-011-opencode
concurrency-012,frameworks,10,opencode,anthropic/claude-haiku-4-5-20251001,max,false,54.0,completed,10,206,0,7968,7978,493,0.0124,0.0010,0,0,0,160,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency012Fixture' | xctest:5 executed, 3 passed, 2 failed, 0 skipped. Failing: SharedRequestPoolTests/testReleasingOneTicketKeepsWorkNeededByAnotherTicketAlive(), SharedRequestPoolTests/testReleasingTheSameTicketTwiceDoesNotReleaseAnotherTicketsLease() | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T113155-concurrency-012-opencode
concurrency-013,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,false,209.1,completed,96,2006,70136,12472,82704,3557,0.0400,0.0171,1,26,9,160,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency013Fixture' | xctest:5 executed, 4 passed, 1 failed, 0 skipped. Failing: EventBroadcasterTests/testSubscriberOnlyReceivesEventsPublishedAfterItJoined() | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T113249-concurrency-013-opencode
concurrency-014,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,false,47.5,completed,10,166,0,8038,8048,351,0.0118,0.0008,0,0,0,160,,build=F;xctest=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'Concurrency014Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: DraftSnapshot.swift: conformance of 'Draft' to protocol 'DraftSnapshotting' crosses into main actor-isolated code and can cause data races [#ConformanceIsolation] | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T113619-concurrency-014-opencode
coredata-001,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,66.7,completed,61,974,34797,10696,45554,1485,0.0240,0.0084,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T062936-coredata-001-opencode
coredata-002,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,131.2,completed,83,1328,62127,12192,74402,2100,0.0316,0.0129,3,6,0,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T063044-coredata-002-opencode
coredata-003,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,false,173.8,completed,295,12729,478295,33279,511869,16126,0.1689,0.1118,192,1716,0,133,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata003Fixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped. Failing: NotesMigrationTests/testUpgradingKeepsWhatTheUserWrote() | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-19T113707-coredata-003-opencode
coredata-004,frameworks,7,opencode,anthropic/claude-haiku-4-5-20251001,max,false,275.7,completed,447,14048,1320496,62243,1383186,17212,0.2941,0.2027,4,56,3,133,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata004Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped. Failing: NoteEditorTests/testAnEditStillSavesAfterTheRowChangedUnderneath(), NoteEditorTests/testAnUncontestedEditStillSaves() | trajectory:The agent's recorded commands show the work behind the deliverable (12 command(s))",2026-09-19T114002-coredata-004-opencode
coredata-005,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,275.1,completed,570,17503,1818215,71341,1890126,21066,0.3740,0.2699,6,316,23,160,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped. Failing: NotesStackTests/testTheScreenSeesABackgroundEdit() | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-19T114438-coredata-005-opencode
coredata-006,frameworks,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,81.1,completed,111,1670,82608,17049,99768,2706,0.0427,0.0167,1,3,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T114915-coredata-006-opencode
coredata-007,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,76.3,completed,132,1426,95135,11896,107163,2387,0.0358,0.0168,1,3,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T115036-coredata-007-opencode
coredata-008,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,72.4,completed,94,1326,64135,11264,75493,2082,0.0305,0.0131,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T115154-coredata-008-opencode
coredata-009,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,73.2,completed,121,1565,86729,11845,98695,2712,0.0366,0.0166,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T115307-coredata-009-opencode
coredata-010,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,165.6,completed,255,7210,319558,23050,342863,9288,0.1062,0.0683,2,60,0,175,,build=F;xctest=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'Coredata010Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: NotesStack.swift: static property 'lastToken' is not concurrency-safe because it is nonisolated global shared mutable state [#MutableGlobalVariable] | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T115421-coredata-010-opencode
g2-a11y-001,visual,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,148.2,completed,96,2449,85624,16934,102654,5418,0.0564,0.0209,1,4,3,100,100,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:4 UI assertion(s) hold in default | uiflow:6 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s)),2026-09-19T130216-g2-a11y-001-opencode
g2-a11y-002,visual,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,106.8,completed,58,1434,36173,11364,47595,2656,0.0309,0.0108,1,20,8,200,200,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:4 UI assertion(s) hold in default | uiflow:7 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s)),2026-09-19T130448-g2-a11y-002-opencode
g2-flow-002,interaction,8,opencode,anthropic/claude-haiku-4-5-20251001,max,true,141.0,completed,137,2038,113439,15572,129148,3505,0.0478,0.0217,1,1,1,114,114,uiflow=P;file=P;trajectory=P,uiflow:2 UI assertion(s) hold in default | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)),2026-09-19T130639-g2-flow-002-opencode
g2-flow-003,interaction,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,174.2,completed,212,2952,204825,17756,222793,4863,0.0661,0.0355,1,4,2,114,114,uiflow=P;uiflow=P;uiflow=P;trajectory=P,uiflow:3 UI assertion(s) hold in default | uiflow:2 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)),2026-09-19T131201-g2-flow-003-opencode
g2-lifecycle-002,runtime,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,101.7,completed,10,194,0,7931,7941,504,0.0124,0.0010,0,0,0,200,,uiflow=P;uiflow=F;trajectory=P,"uiflow:1 UI assertion(s) hold in default | uiflow:2 of 2 UI assertion(s) failed in default: no element on screen shows ""ferry""; ""Nothing saved"" is on screen, in ""Nothing saved"" | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T131712-g2-lifecycle-002-opencode
g2-locale-001,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,false,138.1,completed,119,1720,85969,12417,98505,2828,0.0378,0.0173,1,4,4,200,,uiflow=F;uiflow=P;trajectory=P,"uiflow:1 of 1 UI assertion(s) failed in language=en locale=en_US: ""Bengtsson"" comes before ""Åberg"" on screen; expected ""Åberg"", ""Bengtsson"", ""Öhlin"", ""Olsen"", ""Zetterlund"" | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-19T125108-g2-locale-001-opencode
g2-locale-002,frameworks,9,opencode,anthropic/claude-haiku-4-5-20251001,max,true,244.7,completed,198,3075,254644,27426,282268,5424,0.0861,0.0410,3,7,1,100,100,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-19T125331-g2-locale-002-opencode
g2-locale-003,frameworks,8,opencode,anthropic/claude-haiku-4-5-20251001,max,false,120.0,completed,10,268,0,7980,7990,728,0.0136,0.0014,0,0,0,160,,uiflow=P;uiflow=F;file=P;trajectory=P,"uiflow:3 UI assertion(s) hold in language=en locale=en_US | uiflow:4 of 4 UI assertion(s) failed in language=sv locale=sv_SE: no element on screen shows ""12,40""; no element on screen shows ""3,50""; no element on screen shows ""21,90""; ""12.40"" is on screen, in ""12.40"" | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T125740-g2-locale-003-opencode
g2-locale-004,frameworks,9,opencode,anthropic/claude-haiku-4-5-20251001,max,true,147.9,completed,109,2138,80417,14268,94794,3616,0.0435,0.0188,3,12,3,114,114,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:2 UI assertion(s) hold in language=en locale=en_US | uiflow:2 UI assertion(s) hold in language=de locale=de_DE | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)),2026-09-19T125944-g2-locale-004-opencode
g2-order-001,interaction,9,opencode,anthropic/claude-haiku-4-5-20251001,max,true,172.5,completed,71,1440,51965,12613,64649,3117,0.0363,0.0125,1,9,5,133,133,uiflow=P;uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s)),2026-09-19T130904-g2-order-001-opencode
g2-order-002,interaction,9,opencode,anthropic/claude-haiku-4-5-20251001,max,true,128.7,completed,149,2355,124862,16011,141022,3961,0.0517,0.0244,1,9,6,133,133,uiflow=P;uiflow=P;trajectory=P,uiflow:2 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in default | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)),2026-09-19T131459-g2-order-002-opencode
g2-visual-001,visual,8,opencode,anthropic/claude-haiku-4-5-20251001,max,true,286.5,completed,146,2885,230145,32052,262343,16112,0.1431,0.0376,1,1,2,114,114,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:5 UI assertion(s) hold in language=en locale=en_US | uiflow:7 UI assertion(s) hold in language=ar locale=ar_SA | file:3 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s)),2026-09-19T131858-g2-visual-001-opencode
g2-visual-002,visual,7,opencode,anthropic/claude-haiku-4-5-20251001,max,false,86.9,completed,10,218,0,7960,7970,590,0.0129,0.0011,0,0,0,160,,uiflow=P;uiflow=F;trajectory=P,"uiflow:5 UI assertion(s) hold in default | uiflow:2 of 6 UI assertion(s) failed in defaultthen orientation=landscape-left: ""entry-code"" at (82, 352) 710x62 is outside the window (0, 0) 874x402; ""hero"" at (62, -52) 750x320 is outside the window (0, 0) 874x402 | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T132348-g2-visual-002-opencode
g2-visual-003,visual,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,106.9,completed,108,1544,76779,12085,88972,2711,0.0359,0.0155,1,2,2,100,100,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:3 UI assertion(s) hold in appearance=light | uiflow:2 UI assertion(s) hold in default | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s)),2026-09-19T132519-g2-visual-003-opencode
healthkit-001,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,242.3,completed,290,5852,548540,44990,593820,8321,0.1515,0.0844,2,82,3,200,,build=P;xcodeproj=F;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 of 1 project assertion(s) failed: Info.plist key NSHealthShareUsageDescription is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (12 command(s))",2026-09-19T115707-healthkit-001-opencode
