task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
composition-003,composition,9,opencode,minimax/MiniMax-M3,max,false,986.0,completed,88496,50991,2123392,0,2211888,139487,0.2151,0.2151,2,198,35,2000,,build=P;xctest=P;xcuitest=F;trajectory=F,"build:xcodebuild build succeeded for scheme 'TripPlannerFixture' | xctest:8 executed, 8 passed, 0 failed, 0 skipped | xcuitest:5 executed, 3 passed, 2 failed, 0 skipped. Failing: TripPlannerJourneyTests/testSeededTripCanBeOpenedAndViewedOnTheMap(), TripPlannerJourneyTests/testWarmAndColdLinksOpenTheCorrectTripAndUnknownLinksRecover() | trajectory:The deliverable is not backed by the run: accessed protected benchmark material outside its workspace in 2 tool event(s)",2026-09-16T171909-composition-003-opencode
composition-004,composition,9,opencode,minimax/MiniMax-M3,max,true,415.5,completed,27924,57509,1960704,0,1988628,85433,0.1950,0.1950,2,314,22,800,800,build=P;xctest=P;xcuitest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'AudioLessonsFixture' | xctest:12 executed, 12 passed, 0 failed, 0 skipped | xcuitest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (15 command(s))",2026-09-16T223903-composition-004-opencode
composition-005,composition,9,opencode,minimax/MiniMax-M3,max,false,477.6,completed,105533,11279,4093439,0,4198972,164637,0.3482,0.2908,2,391,17,800,,build=P;xctest=P;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'ReadingInboxFixture' | xctest:6 executed, 6 passed, 0 failed, 0 skipped | xcuitest:4 executed, 2 passed, 2 failed, 0 skipped. Failing: ReadingInboxFlowTests/testFailedImportRetriesTheSameSubmittedURL(), ReadingInboxFlowTests/testSharedSavedLinkReopensCachedArticleFromColdLaunch() | trajectory:The agent's recorded commands show the work behind the deliverable (39 command(s))",2026-09-16T214222-composition-005-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M3,,true,31.4,completed,6862,596,56001,0,62863,7763,0.0065,0.0061,1,2,4,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T053256-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,minimax/MiniMax-M3,,true,120.6,completed,23915,3980,260736,0,284651,27895,0.0276,0.0276,1,4,3,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T053329-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,minimax/MiniMax-M3,,true,63.3,completed,8075,808,68352,0,76427,9548,0.0083,0.0075,1,1,1,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-11T212633-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,minimax/MiniMax-M3,,true,357.1,completed,54525,1517,200359,0,254884,56382,0.0306,0.0302,1,5,7,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T053641-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,minimax/MiniMax-M3,,true,35.3,completed,10651,794,58867,0,69518,12904,0.0094,0.0077,1,5,5,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T054239-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,minimax/MiniMax-M3,,true,394.1,completed,31930,1695,281468,0,313398,34215,0.0292,0.0285,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T054315-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,minimax/MiniMax-M3,,true,31.4,completed,12488,875,95036,0,107524,14412,0.0118,0.0105,1,2,3,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency007Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T054950-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,minimax/MiniMax-M3,max,true,78.3,completed,14054,764,65740,0,79794,16124,0.0106,0.0091,1,4,2,114,114,build=P;xctest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-15T062639-concurrency-008-opencode
concurrency-009,frameworks,8,opencode,minimax/MiniMax-M3,,true,82.1,completed,10009,2516,65024,0,75033,12525,0.0099,0.0099,1,4,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency009Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-08T141637-concurrency-009-opencode
concurrency-010,frameworks,10,opencode,minimax/MiniMax-M3,,true,402.2,completed,25845,27627,1991040,0,2016885,53472,0.1604,0.1604,1,78,15,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency010Fixture' | xctest:9 executed, 9 passed, 0 failed, 0 skipped",2026-09-08T133316-concurrency-010-opencode
concurrency-011,frameworks,9,opencode,minimax/MiniMax-M3,,true,76.9,completed,14435,1072,109909,0,124344,23069,0.0213,0.0122,1,30,8,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency011Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped",2026-09-08T141825-concurrency-011-opencode
concurrency-012,frameworks,10,opencode,minimax/MiniMax-M3,max,true,134.9,completed,57864,1089,80768,0,138632,67359,0.0336,0.0235,1,21,4,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency012Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-15T223413-concurrency-012-opencode
concurrency-013,frameworks,8,opencode,minimax/MiniMax-M3,,true,451.1,completed,67983,2388,279552,0,347535,73835,0.0442,0.0400,1,34,9,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency013Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped",2026-09-08T142322-concurrency-013-opencode
concurrency-014,frameworks,8,opencode,minimax/MiniMax-M3,max,true,155.5,completed,20366,22108,926976,0,947342,42474,0.0883,0.0883,1,1,1,160,160,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Concurrency014Fixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (27 command(s))",2026-09-15T223629-concurrency-014-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M3,,true,25.9,completed,7502,509,38656,0,46158,8011,0.0052,0.0052,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-06T212735-coredata-001-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M3,,true,25.9,completed,9009,516,47208,0,56217,9768,0.0064,0.0062,1,1,0,160,160,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-06T212802-coredata-002-opencode
coredata-003,frameworks,8,opencode,minimax/MiniMax-M3,,true,318.4,completed,96301,4185,623232,0,719533,110984,0.0839,0.0713,1,63,7,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata003Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T055156-coredata-003-opencode
coredata-004,frameworks,7,opencode,minimax/MiniMax-M3,,true,223.5,completed,163023,3927,597376,0,760399,168738,0.0916,0.0895,2,2,0,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T055715-coredata-004-opencode
coredata-005,frameworks,6,opencode,minimax/MiniMax-M3,,false,548.0,completed,59888,27978,1065088,0,1124976,87866,0.1154,0.1154,3,125,2,160,,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata005Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. No tests executed",2026-09-07T060059-coredata-005-opencode
coredata-006,frameworks,7,opencode,minimax/MiniMax-M3,,true,62.2,completed,9199,905,66924,0,76123,11686,0.0098,0.0079,1,2,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T061008-coredata-006-opencode
coredata-007,frameworks,3,opencode,minimax/MiniMax-M3,,true,283.9,completed,30820,405,44398,0,75218,31316,0.0125,0.0124,1,6,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T061111-coredata-007-opencode
coredata-008,frameworks,5,opencode,minimax/MiniMax-M3,,true,28.3,completed,6463,370,39484,0,45947,7038,0.0050,0.0048,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T061556-coredata-008-opencode
coredata-009,frameworks,5,opencode,minimax/MiniMax-M3,,true,48.3,completed,7974,646,38656,0,46630,8620,0.0055,0.0055,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T061626-coredata-009-opencode
coredata-010,frameworks,6,opencode,minimax/MiniMax-M3,,false,60.3,completed,18901,2475,126337,0,145238,26515,0.0224,0.0162,2,88,3,175,,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata010Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. No tests executed",2026-09-07T061716-coredata-010-opencode
g2-a11y-001,visual,7,opencode,minimax/MiniMax-M3,,true,154.1,completed,22338,4343,165632,0,187970,26681,0.0219,0.0219,1,5,2,100,100,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied,2026-09-07T061817-g2-a11y-001-opencode
g2-a11y-002,visual,7,opencode,minimax/MiniMax-M3,max,false,184.1,completed,6253,32295,24448,0,30701,38548,0.0421,0.0421,0,0,0,200,,uiflow=P;uiflow=F;file=P;trajectory=P,"uiflow:4 UI assertion(s) hold in default | uiflow:1 of 7 UI assertion(s) failed in content-size=accessibility-extra-extra-extra-large: ""refresh-name"" is 160pt wide, less than 200pt | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-15T223905-g2-a11y-002-opencode
g2-flow-002,interaction,8,opencode,minimax/MiniMax-M3,,true,81.7,completed,8366,955,39168,0,47534,9321,0.0060,0.0060,1,1,1,114,114,uiflow=P;file=P,uiflow:2 UI assertion(s) hold in default | file:1 file assertion(s) satisfied,2026-09-07T062429-g2-flow-002-opencode
g2-flow-003,interaction,7,opencode,minimax/MiniMax-M3,,true,92.7,completed,8481,1137,46976,0,55457,9618,0.0067,0.0067,1,1,1,114,114,uiflow=P;uiflow=P;uiflow=P,uiflow:3 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default,2026-09-07T062555-g2-flow-003-opencode
g2-lifecycle-002,runtime,9,opencode,minimax/MiniMax-M3,,false,96.5,completed,5225,34,1936,0,7161,5539,0.0021,0.0017,0,0,0,200,,uiflow=P;uiflow=F,"uiflow:1 UI assertion(s) hold in default | uiflow:2 of 2 UI assertion(s) failed in default: no element on screen shows ""ferry""; ""Nothing saved"" is on screen, in ""Nothing saved""",2026-09-11T212738-g2-lifecycle-002-opencode
g2-locale-001,frameworks,8,opencode,minimax/MiniMax-M3,,false,179.7,completed,15632,2392,90624,0,106256,18024,0.0130,0.0130,1,5,4,200,,uiflow=F;uiflow=P,"uiflow:1 of 1 UI assertion(s) failed in language=en locale=en_US: ""Bengtsson"" comes before ""Åberg"" on screen; expected ""Åberg"", ""Bengtsson"", ""Öhlin"", ""Olsen"", ""Zetterlund"" | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE",2026-09-07T063223-g2-locale-001-opencode
g2-locale-002,frameworks,9,opencode,minimax/MiniMax-M3,,true,321.1,completed,16953,1877,185457,0,202410,19517,0.0193,0.0185,1,4,1,100,100,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied,2026-09-07T063528-g2-locale-002-opencode
g2-locale-003,frameworks,8,opencode,minimax/MiniMax-M3,,true,237.7,completed,11469,1230,69545,0,81014,13666,0.0102,0.0091,1,24,10,160,160,uiflow=P;uiflow=P;file=P,uiflow:3 UI assertion(s) hold in language=en locale=en_US | uiflow:4 UI assertion(s) hold in language=sv locale=sv_SE | file:2 file assertion(s) satisfied,2026-09-07T064053-g2-locale-003-opencode
g2-locale-004,frameworks,9,opencode,minimax/MiniMax-M3,max,true,137.5,completed,8279,1337,64128,0,72407,10479,0.0090,0.0079,1,16,7,114,114,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:2 UI assertion(s) hold in language=en locale=en_US | uiflow:2 UI assertion(s) hold in language=de locale=de_DE | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s)),2026-09-15T224213-g2-locale-004-opencode
g2-order-001,interaction,9,opencode,minimax/MiniMax-M3,max,true,121.2,completed,11886,5308,134912,0,146798,17194,0.0180,0.0180,1,8,5,133,133,uiflow=P;uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | file:2 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-15T224435-g2-order-001-opencode
g2-order-002,interaction,9,opencode,minimax/MiniMax-M3,max,true,171.0,completed,10745,4207,118016,0,128761,14952,0.0154,0.0154,1,8,4,133,133,uiflow=P;uiflow=P;trajectory=P,uiflow:2 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in default | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-15T224641-g2-order-002-opencode
g2-visual-001,visual,8,opencode,minimax/MiniMax-M3,max,true,295.3,completed,50946,3407,683171,0,734117,74713,0.0848,0.0604,1,8,12,114,114,uiflow=P;uiflow=P;file=P;trajectory=P,uiflow:5 UI assertion(s) hold in language=en locale=en_US | uiflow:7 UI assertion(s) hold in language=ar locale=ar_SA | file:3 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (15 command(s)),2026-09-15T224936-g2-visual-001-opencode
g2-visual-002,visual,7,opencode,minimax/MiniMax-M3,max,true,199.7,completed,42081,2370,249216,0,291297,52308,0.0398,0.0304,1,44,7,160,160,uiflow=P;uiflow=P;trajectory=P,uiflow:5 UI assertion(s) hold in default | uiflow:6 UI assertion(s) hold in defaultthen orientation=landscape-left | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)),2026-09-15T225435-g2-visual-002-opencode
g2-visual-003,visual,7,opencode,minimax/MiniMax-M3,,true,411.3,completed,8177,852,39552,0,47729,9029,0.0058,0.0058,1,2,2,100,100,uiflow=P;uiflow=P,uiflow:3 UI assertion(s) hold in appearance=light | uiflow:2 UI assertion(s) hold in default,2026-09-07T070401-g2-visual-003-opencode
healthkit-001,frameworks,6,opencode,minimax/MiniMax-M3,max,true,119.2,completed,56920,8350,1042875,0,1099795,76595,0.1033,0.0897,4,119,2,200,200,build=P;xcodeproj=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-15T225759-healthkit-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,163.6,completed,30604,4698,358272,0,388876,35302,0.0363,0.0363,3,6,4,100,100,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartView.swift: ""Optional("".accessibilityIdentifier(\""cart-item-\\(index)\"")"")"" → "".accessibilityIdentifier(""cart-item-\(index)-mutated"")"")",2026-09-06T212829-interaction-001-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,,true,136.3,completed,6066,294,31744,0,37810,6471,0.0042,0.0041,1,1,1,100,100,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: ""Optional("".accessibilityIdentifier(\""result-\\(index)\"")"")"" → "".accessibilityIdentifier(""result-\(index)-mutated"")"")",2026-09-06T213117-interaction-002-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,,true,103.1,completed,7945,1476,95616,0,103561,9421,0.0099,0.0099,1,1,0,100,100,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportView.swift: ""Optional("".accessibilityIdentifier(\""row-\\(index)\"")"")"" → "".accessibilityIdentifier(""row-\(index)-mutated"")"")",2026-09-06T213335-interaction-003-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,max,true,169.2,completed,9460,1446,76032,0,85492,12039,0.0105,0.0091,1,6,19,100,100,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /\.accessibilityIdentifier\(\s*""full-name""\s*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-15T230000-interaction-004-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M3,max,false,1969.8,timeout,208177,22541,11932325,0,12140502,259457,0.8399,0.8054,4,307,0,200,,trajectory=F;build=P;xcuitest=F;file=F,"trajectory:The deliverable is not backed by the run: accessed protected benchmark material outside its workspace in 2 tool event(s) | build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped. Failing: GestureFixtureUITests/testAllGestures() | file:gesture-log.txt: does not contain expected text; gesture-log.txt: does not contain expected text",2026-09-15T230253-interaction-005-opencode
mapkit-001,frameworks,4,opencode,minimax/MiniMax-M3,,true,91.6,completed,11254,868,77618,0,88872,13992,0.0113,0.0091,1,7,2,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Mapkit001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T072401-mapkit-001-opencode
networking-001,frameworks,4,opencode,minimax/MiniMax-M3,,true,114.0,completed,24357,2312,175360,0,199717,26669,0.0206,0.0206,1,6,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T072533-networking-001-opencode
networking-002,frameworks,3,opencode,minimax/MiniMax-M3,,true,39.1,completed,6362,415,39702,0,46064,6911,0.0049,0.0048,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T072729-networking-002-opencode
networking-003,frameworks,6,opencode,minimax/MiniMax-M3,,true,145.2,completed,20445,2548,165760,0,186205,22993,0.0191,0.0191,1,3,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T072809-networking-003-opencode
networking-004,frameworks,4,opencode,minimax/MiniMax-M3,,true,88.6,completed,9843,1143,88192,0,98035,10986,0.0096,0.0096,1,1,0,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T073036-networking-004-opencode
networking-005,frameworks,3,opencode,minimax/MiniMax-M3,,true,53.0,completed,7083,1014,50944,0,58027,8097,0.0064,0.0064,1,6,1,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-07T073205-networking-005-opencode
networking-006,frameworks,4,opencode,minimax/MiniMax-M3,,true,40.1,completed,8202,567,38656,0,46858,8769,0.0055,0.0055,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T073259-networking-006-opencode
networking-007,frameworks,3,opencode,minimax/MiniMax-M3,,true,198.0,completed,6281,579,39673,0,45954,6860,0.0050,0.0050,1,1,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T073341-networking-007-opencode
networking-008,frameworks,5,opencode,minimax/MiniMax-M3,,true,50.3,completed,7755,658,38272,0,46027,8413,0.0054,0.0054,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T073700-networking-008-opencode
ops-001,ops,1,opencode,minimax/MiniMax-M3,,true,662.7,completed,574013,13280,6311936,0,6885949,597201,0.5787,0.5669,1962,5136,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (101 command(s)) | build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:1 file assertion(s) satisfied,2026-09-06T220155-ops-001-opencode
