task,category,difficulty,agent,model,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
networking-004,frameworks,4,opencode,minimax/MiniMax-M3,true,44.2,completed,8268,978,9246,0.0064,1,1,0,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T112436-networking-004-opencode
networking-005,frameworks,3,opencode,minimax/MiniMax-M3,true,64.0,completed,12966,1783,14749,0.0107,1,6,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T112521-networking-005-opencode
networking-006,frameworks,4,opencode,minimax/MiniMax-M3,true,29.6,completed,12707,723,13430,0.0072,1,1,2,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112626-networking-006-opencode
networking-007,frameworks,3,opencode,minimax/MiniMax-M3,true,58.5,completed,21717,588,22305,0.0087,1,1,0,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112656-networking-007-opencode
networking-008,frameworks,5,opencode,minimax/MiniMax-M3,true,46.4,completed,8050,804,8854,0.0062,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112755-networking-008-opencode
ops-001,ops,1,opencode,minimax/MiniMax-M3,true,56.8,completed,22981,2464,25445,0.0329,1,433,0,10,1.00,10.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:1 file assertion(s) satisfied,2026-09-01T163835-ops-001-opencode
ops-002,ops,2,opencode,minimax/MiniMax-M3,true,74.7,completed,34474,3700,38174,0.0428,1,26,0,20,1.00,20.0,file=P,file:4 file assertion(s) satisfied,2026-09-01T163932-ops-002-opencode
ops-003,ops,3,opencode,minimax/MiniMax-M3,true,200.9,completed,18595,1745,20340,0.0237,1829,1604,0,30,1.00,30.0,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 6s observation window | file:2 file assertion(s) satisfied,2026-09-01T174337-ops-003-opencode
ops-004,ops,3,opencode,minimax/MiniMax-M3,true,90.1,completed,12497,4651,17148,0.0226,1,42,0,30,1.00,30.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-01T155142-ops-004-opencode
ops-005,ops,4,opencode,minimax/MiniMax-M3,true,157.1,completed,35326,2226,37552,0.0270,1838,2913,0,40,1.00,40.0,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'DecodingFixture' | runtime:Process survived 4s observation window | file:1 file assertion(s) satisfied,2026-09-01T174658-ops-005-opencode
ops-006,ops,2,opencode,minimax/MiniMax-M3,true,20.4,completed,5703,269,5972,0.0035,1,8,0,20,1.00,20.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | file:3 file assertion(s) satisfied,2026-09-01T174941-ops-006-opencode
ops-007,ops,4,opencode,minimax/MiniMax-M3,true,35.1,completed,9014,808,9822,0.0078,1,4,0,40,1.00,40.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-01T175001-ops-007-opencode
ops-008,ops,5,opencode,minimax/MiniMax-M3,true,39.1,completed,19308,684,19992,0.0093,1,16,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-01T175037-ops-008-opencode
ops-009,ops,6,opencode,minimax/MiniMax-M3,true,1280.9,completed,684740,40235,724975,0.9490,6,113,0,60,0.25,15.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-01T175118-ops-009-opencode
ops-010,ops,5,opencode,minimax/MiniMax-M3,true,1635.2,timeout,,,,,7515,6519,2,50,0.25,12.5,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 5s observation window | file:2 file assertion(s) satisfied,2026-09-01T181240-ops-010-opencode
ops-011,ops,3,opencode,minimax/MiniMax-M3,false,28.2,completed,7259,1151,8410,0.0070,1,4,0,30,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:devices.txt: does not contain expected text,2026-09-01T184001-ops-011-opencode
ops-012,ops,9,opencode,minimax/MiniMax-M3,true,238.9,completed,33607,12799,46406,0.0773,3543,5961,0,90,1.00,90.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:4 file assertion(s) satisfied,2026-09-02T053519-ops-012-opencode
ops-013,ops,7,opencode,minimax/MiniMax-M3,false,70.3,completed,16029,3059,19088,0.0129,1,37,0,70,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:lifecycle-report.md: does not match /exit.?code/,2026-09-02T053937-ops-013-opencode
ops-014,ops,5,opencode,minimax/MiniMax-M3,true,206.7,completed,66574,5758,72332,0.0514,2278,3036,0,50,0.69,34.6,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T054048-ops-014-opencode
ops-015,ops,7,opencode,minimax/MiniMax-M3,true,92.3,completed,25382,2923,28305,0.0187,3,104,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ScratchApp' | file:3 file assertion(s) satisfied,2026-09-02T054415-ops-015-opencode
ops-016,ops,4,opencode,minimax/MiniMax-M3,true,103.1,completed,21390,3425,24815,0.0246,331,3013,0,40,1.00,40.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:5 file assertion(s) satisfied,2026-09-02T054548-ops-016-opencode
ops-017,ops,7,opencode,minimax/MiniMax-M3,true,116.3,completed,14291,3796,18087,0.0218,2,62,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T054732-ops-017-opencode
ops-018,ops,6,opencode,minimax/MiniMax-M3,true,243.0,completed,37945,15519,53464,0.0820,5,108,10,60,0.94,56.1,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T054929-ops-018-opencode
ops-019,ops,5,opencode,minimax/MiniMax-M3,true,36.4,completed,11413,1832,13245,0.0103,1,37,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:5 file assertion(s) satisfied,2026-09-02T055333-ops-019-opencode
ops-020,ops,4,opencode,minimax/MiniMax-M3,true,70.7,completed,7275,1003,8278,0.0056,1,3377,0,40,1.00,40.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T055410-ops-020-opencode
ops-021,ops,5,opencode,minimax/MiniMax-M3,true,71.0,completed,15634,1996,17630,0.0139,1,45,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T055521-ops-021-opencode
ops-022,ops,6,opencode,minimax/MiniMax-M3,true,460.7,completed,56357,3805,60162,0.0320,1,57,0,60,0.83,49.9,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-02T055634-ops-022-opencode
ops-023,ops,8,opencode,minimax/MiniMax-M3,true,125.5,completed,30108,6918,37026,0.0559,1,185,0,80,1.00,80.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T060415-ops-023-opencode
ops-024,ops,7,opencode,minimax/MiniMax-M3,true,51.1,completed,9614,1872,11486,0.0084,1,148,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-02T060621-ops-024-opencode
ops-025,ops,5,opencode,minimax/MiniMax-M3,true,177.5,completed,31790,4507,36297,0.0471,1835,1696,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T060713-ops-025-opencode
ops-026,ops,7,opencode,minimax/MiniMax-M3,true,127.3,completed,42831,7356,50187,0.0500,1,60,0,70,1.00,69.7,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-02T061012-ops-026-opencode
ops-027,ops,3,opencode,minimax/MiniMax-M3,false,64.0,timeout,10596,2130,12726,0.0121,0,0,0,30,1.00,0.0,file=F,"file:macos-screen.png: expected to exist; macos-screen.png: unreadable or missing, cannot check PNG; macos-screencapture.md: expected to exist; macos-screencapture.md: unreadable or missing",2026-09-02T061220-ops-027-opencode
ops-028,ops,7,opencode,minimax/MiniMax-M3,true,34.6,completed,14502,1470,15972,0.0155,2,3,2,70,1.00,70.0,build=P;xcodeproj=P;file=P,build:xcodebuild build succeeded for scheme 'XCConfigFixture' | xcodeproj:3 project assertion(s) hold in the resolved configuration | file:2 file assertion(s) satisfied,2026-09-02T061324-ops-028-opencode
ops-029,ops,6,opencode,minimax/MiniMax-M3,true,168.5,completed,17139,2681,19820,0.0223,2,562,0,60,1.00,60.0,file=P,file:13 file assertion(s) satisfied,2026-09-02T061359-ops-029-opencode
project-001,project,1,opencode,minimax/MiniMax-M3,true,24.1,completed,13762,2543,16305,0.0126,1,4,0,10,1.00,10.0,build=P,build:xcodebuild build succeeded for scheme 'TargetMembershipFixture',2026-09-01T155313-project-001-opencode
project-002,project,2,opencode,minimax/MiniMax-M3,true,58.2,completed,23913,793,24706,0.0110,1,2,0,20,1.00,20.0,build=P;xcodeproj=P,build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-02T061648-project-002-opencode
project-004,project,4,opencode,minimax/MiniMax-M3,true,241.9,completed,70356,9046,79402,0.0552,2,45,0,40,0.63,25.2,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SchemeFixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T061747-project-004-opencode
project-005,project,5,opencode,minimax/MiniMax-M3,true,83.5,completed,47580,3209,50789,0.0261,1,21,0,50,0.98,49.2,build=P,build:xcodebuild build succeeded for scheme 'PackageIntegrationFixture',2026-09-02T062150-project-005-opencode
project-006,project,6,opencode,minimax/MiniMax-M3,true,354.8,completed,46386,16116,62502,0.1018,3,112,0,60,0.80,48.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'MultiTargetFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T062314-project-006-opencode
push-001,frameworks,6,opencode,minimax/MiniMax-M3,true,67.2,completed,23909,2220,26129,0.0134,1,4,2,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Push001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T112842-push-001-opencode
push-002,frameworks,6,opencode,minimax/MiniMax-M3,false,111.3,completed,10387,901,11288,0.0078,1,4,1,60,1.00,0.0,build=P;xcodeproj=F;file=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Push002Fixture' | xcodeproj:1 of 1 project assertion(s) failed — build setting CODE_SIGN_ENTITLEMENTS is not set | file:1 file assertion(s) satisfied | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112950-push-002-opencode
runtime-001,runtime,1,opencode,minimax/MiniMax-M3,true,121.7,completed,10567,796,11363,0.0071,2069,5474,1,10,1.00,10.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'NavigationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T062910-runtime-001-opencode
runtime-003,runtime,3,opencode,minimax/MiniMax-M3,true,125.2,completed,10953,2810,13763,0.0106,1,3,1,30,1.00,30.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'MainThreadFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T063116-runtime-003-opencode
runtime-004,runtime,4,opencode,minimax/MiniMax-M3,true,129.4,completed,9422,3045,12467,0.0095,1,5,6,40,1.00,40.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'UpdateLoopFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T063325-runtime-004-opencode
runtime-005,runtime,5,opencode,minimax/MiniMax-M3,true,337.4,completed,26569,12476,39045,0.0603,1,24,4,50,1.00,50.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'RelaunchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T063539-runtime-005-opencode
storekit-001,frameworks,6,opencode,minimax/MiniMax-M3,false,53.1,completed,13022,2541,15563,0.0131,1,5,1,60,1.00,0.0,build=P;xcodeproj=F;xctest=P,"build:xcodebuild build succeeded for scheme 'Storekit001Fixture' | xcodeproj:1 of 1 project assertion(s) failed — built product does not contain 'Products.storekit' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113142-storekit-001-opencode
storekit-002,frameworks,6,opencode,minimax/MiniMax-M3,false,66.0,completed,16675,4833,21508,0.0174,1,15,6,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Storekit002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T113236-storekit-002-opencode
swiftdata-001,frameworks,2,opencode,minimax/MiniMax-M3,true,51.8,completed,6343,515,6858,0.0054,1,1,1,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SwiftDataNotesFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T064120-swiftdata-001-opencode
swiftdata-002,frameworks,4,opencode,minimax/MiniMax-M3,true,34.5,completed,6759,516,7275,0.0055,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SwiftDataContainerFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T064213-swiftdata-002-opencode
swiftdata-003,frameworks,6,opencode,minimax/MiniMax-M3,true,31.4,completed,6587,682,7269,0.0052,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T113343-swiftdata-003-opencode
swiftdata-004,frameworks,6,opencode,minimax/MiniMax-M3,true,37.5,completed,7407,624,8031,0.0048,1,1,1,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata004Fixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T113415-swiftdata-004-opencode
