task,category,difficulty,agent,model,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
interaction-005,interaction,5,opencode,minimax/MiniMax-M2.7,false,1633.6,completed,26833,92419,119252,1.4201,1,114,0,50,0.42,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:gesture-log.txt: expected to exist; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing,2026-09-02T122344-interaction-005-opencode
mapkit-001,frameworks,4,opencode,minimax/MiniMax-M2.7,false,23.4,completed,115,865,980,0.0040,1,1,4,40,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Mapkit001Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T170131-mapkit-001-opencode
networking-001,frameworks,4,opencode,minimax/MiniMax-M2.7,true,64.5,completed,2417,1563,3980,0.0094,1,6,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170156-networking-001-opencode
networking-002,frameworks,3,opencode,minimax/MiniMax-M2.7,true,46.5,completed,351,599,950,0.0038,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170301-networking-002-opencode
networking-003,frameworks,6,opencode,minimax/MiniMax-M2.7,true,31.9,completed,455,784,1239,0.0047,1,3,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170348-networking-003-opencode
networking-004,frameworks,4,opencode,minimax/MiniMax-M2.7,false,94.8,completed,900,2098,2998,0.0100,1,1,0,40,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped — failing: ReadingsLoaderTests/testReadingsDecode(), ReadingsLoaderTests/testTheTimestampIsTheOneTheServiceSent()",2026-09-02T170421-networking-004-opencode
networking-005,frameworks,3,opencode,minimax/MiniMax-M2.7,false,48.2,completed,173,705,878,0.0044,1,2,1,30,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 3 passed, 1 failed, 0 skipped — failing: SearchURLTests/testASearchWithAnAmpersand()",2026-09-02T170557-networking-005-opencode
networking-006,frameworks,4,opencode,minimax/MiniMax-M2.7,true,46.1,completed,248,719,967,0.0040,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170645-networking-006-opencode
networking-007,frameworks,3,opencode,minimax/MiniMax-M2.7,true,79.8,completed,7259,945,8204,0.0085,1,1,0,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170732-networking-007-opencode
networking-008,frameworks,5,opencode,minimax/MiniMax-M2.7,true,126.9,completed,927,786,1713,0.0046,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170853-networking-008-opencode
ops-001,ops,1,opencode,minimax/MiniMax-M2.7,true,38.4,completed,15330,774,16104,0.0169,1,238,0,10,1.00,10.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:1 file assertion(s) satisfied,2026-09-02T125058-ops-001-opencode
ops-002,ops,2,opencode,minimax/MiniMax-M2.7,true,112.3,completed,15443,787,16230,0.0155,1,11,0,20,1.00,20.0,file=P,file:4 file assertion(s) satisfied,2026-09-02T125137-ops-002-opencode
ops-003,ops,3,opencode,minimax/MiniMax-M2.7,true,119.4,completed,17210,2304,19514,0.0305,1,0,0,30,1.00,30.0,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 6s observation window | file:2 file assertion(s) satisfied,2026-09-02T125330-ops-003-opencode
ops-005,ops,4,opencode,minimax/MiniMax-M2.7,true,251.6,completed,60036,5205,65241,0.1281,1,277,0,40,0.77,30.7,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'DecodingFixture' | runtime:Process survived 4s observation window | file:1 file assertion(s) satisfied,2026-09-02T125534-ops-005-opencode
ops-006,ops,2,opencode,minimax/MiniMax-M2.7,true,24.9,completed,0,422,422,0.0037,1,6,0,20,1.00,20.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | file:3 file assertion(s) satisfied,2026-09-02T125949-ops-006-opencode
ops-007,ops,4,opencode,minimax/MiniMax-M2.7,false,41.4,completed,120,1419,1539,0.0058,0,0,0,40,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:simulator-status.txt: expected to exist; simulator-status.txt: unreadable or missing; simulator-status.txt: unreadable or missing,2026-09-02T130016-ops-007-opencode
ops-008,ops,5,opencode,minimax/MiniMax-M2.7,true,54.5,completed,105,747,852,0.0050,1,16,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-02T130057-ops-008-opencode
ops-009,ops,6,opencode,minimax/MiniMax-M2.7,false,545.1,completed,44865,22566,67431,0.2395,4,76,0,60,0.74,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:Sources/ContentView.swift: does not contain expected text,2026-09-02T130153-ops-009-opencode
ops-010,ops,5,opencode,minimax/MiniMax-M2.7,true,265.7,completed,24482,11068,35550,0.1107,4,64,0,50,1.00,50.0,build=P;runtime=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 5s observation window | file:2 file assertion(s) satisfied,2026-09-02T131059-ops-010-opencode
ops-011,ops,3,opencode,minimax/MiniMax-M2.7,false,17.5,completed,0,248,248,0.0024,0,0,0,30,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:devices.txt: expected to exist; devices.txt: unreadable or missing; devices.txt: unreadable or missing,2026-09-02T131529-ops-011-opencode
ops-012,ops,9,opencode,minimax/MiniMax-M2.7,true,159.4,completed,49363,5871,55234,0.0889,9,723,0,90,0.91,81.5,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:4 file assertion(s) satisfied,2026-09-02T131547-ops-012-opencode
ops-013,ops,7,opencode,minimax/MiniMax-M2.7,false,69.4,completed,3924,2351,6275,0.0186,0,0,0,70,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:lifecycle-report.md: expected to exist; lifecycle-report.md: unreadable or missing; lifecycle-report.md: unreadable or missing; lifecycle-report.md: unreadable or missing; lifecycle-report.md: unreadable or missing; lifecycle-report.md: unreadable or missing; lifecycle-report.md: unreadable or missing,2026-09-02T131827-ops-013-opencode
ops-014,ops,5,opencode,minimax/MiniMax-M2.7,true,150.4,completed,8783,4049,12832,0.0384,1,5,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T131937-ops-014-opencode
ops-015,ops,7,opencode,minimax/MiniMax-M2.7,true,108.7,completed,3269,3487,6756,0.0160,2139,4004,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ScratchApp' | file:3 file assertion(s) satisfied,2026-09-02T132208-ops-015-opencode
ops-016,ops,4,opencode,minimax/MiniMax-M2.7,true,76.6,completed,24433,2086,26519,0.0436,1,4,0,40,1.00,40.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:5 file assertion(s) satisfied,2026-09-02T132358-ops-016-opencode
ops-017,ops,7,opencode,minimax/MiniMax-M2.7,true,62.7,completed,582,2570,3152,0.0110,3,18,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T132515-ops-017-opencode
ops-018,ops,6,opencode,minimax/MiniMax-M2.7,true,1276.8,completed,39417,45823,85240,0.4679,6,97,0,60,0.59,35.2,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T132618-ops-018-opencode
ops-019,ops,5,opencode,minimax/MiniMax-M2.7,false,44.0,completed,15054,962,16016,0.0153,1,8,0,50,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:sign-report.txt: does not contain expected text; sign-report.txt: does not contain expected text; sign-report.txt: does not contain expected text,2026-09-02T134736-ops-019-opencode
ops-020,ops,4,opencode,minimax/MiniMax-M2.7,true,40.5,completed,66511,1408,67919,0.0566,1,3384,0,40,0.74,29.4,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T134821-ops-020-opencode
ops-021,ops,5,opencode,minimax/MiniMax-M2.7,false,53.2,completed,230,1800,2030,0.0086,0,0,0,50,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:clone-rename.md: expected to exist; clone-rename.md: unreadable or missing; clone-rename.md: unreadable or missing; clone-rename.md: unreadable or missing,2026-09-02T134902-ops-021-opencode
ops-022,ops,6,opencode,minimax/MiniMax-M2.7,true,118.5,completed,219,2093,2312,0.0112,1,25,0,60,1.00,60.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-02T134956-ops-022-opencode
ops-023,ops,8,opencode,minimax/MiniMax-M2.7,true,71.0,completed,15901,2412,18313,0.0263,1,73,0,80,1.00,80.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-02T135155-ops-023-opencode
ops-024,ops,7,opencode,minimax/MiniMax-M2.7,true,30.7,completed,0,1052,1052,0.0043,1,72,0,70,1.00,70.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-02T135324-ops-024-opencode
ops-025,ops,5,opencode,minimax/MiniMax-M2.7,true,190.6,completed,3888,8101,11989,0.0378,1839,1651,0,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-02T135355-ops-025-opencode
ops-026,ops,7,opencode,minimax/MiniMax-M2.7,false,55.9,completed,2133,3131,5264,0.0108,0,0,0,70,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'BuildFixture' | file:prune-and-update.md: expected to exist; prune-and-update.md: unreadable or missing; prune-and-update.md: unreadable or missing,2026-09-02T135707-ops-026-opencode
ops-027,ops,3,opencode,minimax/MiniMax-M2.7,false,19.6,completed,0,780,780,0.0043,0,0,0,30,1.00,0.0,file=F,"file:macos-screen.png: expected to exist; macos-screen.png: unreadable or missing, cannot check PNG; macos-screencapture.md: expected to exist; macos-screencapture.md: unreadable or missing",2026-09-02T135804-ops-027-opencode
ops-028,ops,7,opencode,minimax/MiniMax-M2.7,false,52.9,completed,364,2653,3017,0.0082,2,3,2,70,1.00,0.0,build=P;xcodeproj=F;file=P,build:xcodebuild build succeeded for scheme 'XCConfigFixture' | xcodeproj:1 of 3 project assertion(s) failed — build setting SWIFT_ACTIVE_COMPILATION_CONDITIONS is not set | file:2 file assertion(s) satisfied,2026-09-02T135823-ops-028-opencode
ops-029,ops,6,opencode,minimax/MiniMax-M2.7,true,99.8,completed,23958,2357,26315,0.0330,2,77,0,60,1.00,60.0,file=P,file:13 file assertion(s) satisfied,2026-09-02T135917-ops-029-opencode
project-002,project,2,opencode,minimax/MiniMax-M2.7,true,71.9,completed,1059,860,1919,0.0048,1,2,0,20,1.00,20.0,build=P;xcodeproj=P,build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-02T140057-project-002-opencode
project-004,project,4,opencode,minimax/MiniMax-M2.7,true,160.4,completed,21336,3886,25222,0.0226,2,29,0,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SchemeFixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T140210-project-004-opencode
project-005,project,5,opencode,minimax/MiniMax-M2.7,true,657.9,completed,33629,31387,65016,0.4027,1285,1782,1,50,0.77,38.5,build=P,build:xcodebuild build succeeded for scheme 'PackageIntegrationFixture',2026-09-02T140451-project-005-opencode
project-006,project,6,opencode,minimax/MiniMax-M2.7,false,68.0,completed,9705,3012,12717,0.0245,0,0,0,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'MultiTargetFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T141550-project-006-opencode
push-001,frameworks,6,opencode,minimax/MiniMax-M2.7,true,98.1,completed,6046,4327,10373,0.0185,3,70,6,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Push001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T171100-push-001-opencode
push-002,frameworks,6,opencode,minimax/MiniMax-M2.7,false,288.4,completed,15723,10932,26655,0.0711,5,256,5,60,1.00,0.0,build=P;xcodeproj=F;file=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Push002Fixture' | xcodeproj:1 of 1 project assertion(s) failed — build setting CODE_SIGN_ENTITLEMENTS is not set | file:1 file assertion(s) satisfied | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T171239-push-002-opencode
runtime-001,runtime,1,opencode,minimax/MiniMax-M2.7,true,217.8,completed,3149,1389,4538,0.0105,1,1,1,10,1.00,10.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'NavigationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T141658-runtime-001-opencode
runtime-003,runtime,3,opencode,minimax/MiniMax-M2.7,true,130.7,completed,2746,1697,4443,0.0088,1,3,1,30,1.00,30.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'MainThreadFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T142040-runtime-003-opencode
runtime-004,runtime,4,opencode,minimax/MiniMax-M2.7,true,176.8,completed,1310,1722,3032,0.0102,1,5,6,40,1.00,40.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'UpdateLoopFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T142255-runtime-004-opencode
runtime-005,runtime,5,opencode,minimax/MiniMax-M2.7,true,196.1,completed,4398,2173,6571,0.0127,1,9,2,50,1.00,50.0,build=P;xcuitest=P;runtime=P,"build:xcodebuild build succeeded for scheme 'RelaunchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window",2026-09-02T142555-runtime-005-opencode
storekit-001,frameworks,6,opencode,minimax/MiniMax-M2.7,false,193.6,completed,11803,6248,18051,0.0401,3,133,22,60,1.00,0.0,build=P;xcodeproj=F;xctest=F,"build:xcodebuild build succeeded for scheme 'Storekit001Fixture' | xcodeproj:1 of 1 project assertion(s) failed — built product does not contain 'Products.storekit' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T171729-storekit-001-opencode
storekit-002,frameworks,6,opencode,minimax/MiniMax-M2.7,false,40.2,completed,529,2063,2592,0.0119,1,6,3,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Storekit002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T172043-storekit-002-opencode
swiftdata-001,frameworks,2,opencode,minimax/MiniMax-M2.7,true,48.0,completed,700,569,1269,0.0041,1,1,1,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SwiftDataNotesFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T142916-swiftdata-001-opencode
swiftdata-002,frameworks,4,opencode,minimax/MiniMax-M2.7,true,51.6,completed,798,969,1767,0.0054,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'SwiftDataContainerFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T143004-swiftdata-002-opencode
