task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
bg-002,frameworks,6,opencode,minimax/MiniMax-M3,,true,51.5,completed,11754,1112,,,11754,12866,0.0088,0.0049,1,1,1,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104512-bg-002-opencode
bg-002,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,61.7,completed,560,1897,,,560,2457,0.0082,0.0024,2,44,3,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Bg002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163352-bg-002-opencode
build-002,build,2,opencode,minimax/MiniMax-M3,,true,53.4,completed,17493,2732,,,17493,20225,0.0138,0.0085,1,4,2,20,1.00,20.0,build=P;xcodeproj=P,build:xcodebuild build succeeded for scheme 'AvailabilityFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-01T155338-build-002-opencode
build-002,build,2,opencode,openrouter/minimax/minimax-m3,,false,11.6,failed,,,,,,,,,0,0,0,20,0.25,0.0,build=F;xcodeproj=P,build:xcodebuild build failed (exit 65) for scheme 'AvailabilityFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-01T153813-build-002-opencode
build-005,build,5,opencode,minimax/MiniMax-M3,,true,57.5,completed,25511,1752,,,25511,27263,0.0204,0.0098,1,1,2,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-02T041540-build-005-opencode
build-005,build,5,opencode,minimax/MiniMax-M2.7,,true,42.8,completed,8755,1108,,,8755,9863,0.0131,0.0040,1,1,2,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-02T120843-build-005-opencode
build-005,build,5,opencode,minimax/MiniMax-M3,,false,69.5,completed,33970,3355,,,33970,37325,0.0252,0.0142,2,2,2,50,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:Packages/Integrity/Sources/CIntegrity/include/cintegrity.h: expected diff to exclude this path,2026-09-01T155750-build-005-opencode
build-005,build,5,opencode,minimax/MiniMax-M3,,true,49.3,completed,27316,1766,,,27316,29082,0.0182,0.0103,1,1,2,50,1.00,50.0,build=P;file=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-01T165918-build-005-opencode
build-005,build,5,opencode,zhipuai/glm-5.2,,false,8.8,failed,,,,,,,,,0,0,0,50,0.25,0.0,build=F;file=P,build:xcodebuild build failed (exit 65) for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-03T165613-build-005-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M3,,true,27.9,completed,6615,817,,,6615,7432,0.0063,0.0030,1,2,4,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T104604-concurrency-001-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,34.2,completed,125,809,,,125,934,0.0049,0.0010,1,1,3,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T163454-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,minimax/MiniMax-M3,,true,30.2,completed,7243,905,,,7243,8148,0.0057,0.0033,1,4,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104633-concurrency-002-opencode
concurrency-002,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,62.1,completed,690,1572,,,690,2262,0.0063,0.0021,1,2,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163529-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,minimax/MiniMax-M2.7,,true,69.2,completed,400,2055,,,400,2455,0.0066,0.0026,1,1,1,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163632-concurrency-003-opencode
concurrency-003,frameworks,7,opencode,minimax/MiniMax-M3,,false,86.7,completed,11119,3222,,,11119,14341,0.0112,0.0072,1,1,1,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 2 passed, 1 failed, 0 skipped — failing: TelemetryFeedTests/testABacklogDoesNotGrowWithoutLimit()",2026-09-02T104710-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,minimax/MiniMax-M3,,false,44.8,completed,18640,2338,,,18640,20978,0.0123,0.0084,1,4,7,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T104837-concurrency-004-opencode
concurrency-004,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,29.4,completed,277,1523,,,277,1800,0.0057,0.0019,1,31,13,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Concurrency004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163742-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,minimax/MiniMax-M3,,true,124.9,completed,23941,1355,,,23941,25296,0.0123,0.0088,1,5,5,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104923-concurrency-005-opencode
concurrency-005,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,41.7,completed,350,1704,,,350,2054,0.0060,0.0021,1,5,5,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T163812-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,minimax/MiniMax-M3,,true,78.4,completed,26211,6799,,,26211,33010,0.0247,0.0160,1,5,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105128-concurrency-006-opencode
concurrency-006,frameworks,4,opencode,minimax/MiniMax-M2.7,,false,59.8,completed,522,2205,,,522,2727,0.0081,0.0028,1,3,5,40,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163855-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,125.4,completed,596,1724,,,596,2320,0.0078,0.0022,1,6,15,70,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Concurrency007Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T163955-concurrency-007-opencode
concurrency-007,frameworks,7,opencode,minimax/MiniMax-M3,,true,30.9,completed,6359,549,,,6359,6908,0.0050,0.0026,1,1,2,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency007Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105248-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,minimax/MiniMax-M2.7,,false,70.2,completed,268,1095,,,268,1363,0.0045,0.0014,1,3,2,30,1.00,0.0,build=P;xctest=F;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed | runtime:Process survived 5s observation window",2026-09-02T164201-concurrency-008-opencode
concurrency-008,frameworks,3,opencode,minimax/MiniMax-M3,,false,96.3,completed,9483,3923,,,9483,13406,0.0150,0.0076,1,5,2,30,1.00,0.0,build=P;xctest=F;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed | runtime:Process survived 5s observation window",2026-09-02T105319-concurrency-008-opencode
coredata-001,frameworks,3,opencode,zhipuai/glm-5.2,,false,29.2,failed,,,,,,,,,0,0,0,30,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 0 passed, 1 failed, 0 skipped — failing: NotesStoreTests/testInsertedNotesAreFetched()",2026-09-03T165623-coredata-001-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M3,,true,36.8,completed,7156,693,,,7156,7849,0.0060,0.0030,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T041638-coredata-001-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M3,,true,29.4,completed,7266,602,,,7266,7868,0.0049,0.0029,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T170008-coredata-001-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M2.7,,true,30.7,completed,407,476,,,407,883,0.0036,0.0007,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T120927-coredata-001-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M3,,true,38.7,completed,7270,596,,,7270,7866,0.0059,0.0029,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155900-coredata-001-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M3,,false,53.0,completed,9242,1158,,,9242,10400,0.0076,0.0042,2,3,2,50,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T041716-coredata-002-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M2.7,,false,70.0,completed,1436,1129,,,1436,2565,0.0068,0.0018,2,3,2,50,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T120958-coredata-002-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M3,,true,38.9,completed,7340,838,,,7340,8178,0.0061,0.0032,1,1,0,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155940-coredata-002-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M3,,true,39.7,completed,13975,670,,,13975,14645,0.0075,0.0050,1,5,0,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T170038-coredata-002-opencode
coredata-003,frameworks,8,opencode,minimax/MiniMax-M3,,true,908.8,completed,341716,51051,,,341716,392767,0.5018,0.1638,1,46,4,80,0.25,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata003Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105500-coredata-003-opencode
coredata-003,frameworks,8,opencode,minimax/MiniMax-M2.7,,false,115.0,completed,3746,5848,,,3746,9594,0.0243,0.0081,1,18,5,80,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata003Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164316-coredata-003-opencode
coredata-004,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,66.5,completed,1549,2217,,,1549,3766,0.0078,0.0031,2,8,1,70,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164511-coredata-004-opencode
coredata-004,frameworks,7,opencode,minimax/MiniMax-M3,,true,79.9,completed,18423,1841,,,18423,20264,0.0163,0.0077,1,1,0,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111010-coredata-004-opencode
coredata-005,frameworks,6,opencode,minimax/MiniMax-M3,,true,117.1,completed,84725,4849,,,84725,89574,0.0398,0.0312,2,92,2,60,0.56,33.5,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111130-coredata-005-opencode
coredata-005,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,211.9,completed,16519,6941,,,16519,23460,0.0553,0.0133,5,104,4,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped — failing: NotesStackTests/testTheScreenSeesABackgroundEdit()",2026-09-02T164618-coredata-005-opencode
coredata-006,frameworks,7,opencode,minimax/MiniMax-M3,,true,30.8,completed,7171,1067,,,7171,8238,0.0063,0.0034,1,1,1,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111328-coredata-006-opencode
coredata-006,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,88.2,completed,8486,2483,,,8486,10969,0.0153,0.0055,2,11,4,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T164951-coredata-006-opencode
coredata-007,frameworks,3,opencode,minimax/MiniMax-M2.7,,true,29.4,completed,103,580,,,103,683,0.0035,0.0007,1,3,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T165120-coredata-007-opencode
coredata-007,frameworks,3,opencode,minimax/MiniMax-M3,,false,31.2,completed,8129,730,,,8129,8859,0.0056,0.0033,1,2,1,30,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata007Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T111400-coredata-007-opencode
coredata-008,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,111.2,completed,539,745,,,539,1284,0.0043,0.0011,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T165150-coredata-008-opencode
coredata-008,frameworks,5,opencode,minimax/MiniMax-M3,,true,34.8,completed,7715,735,,,7715,8450,0.0050,0.0032,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T111431-coredata-008-opencode
coredata-009,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,123.9,completed,1009,660,,,1009,1669,0.0044,0.0011,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T165342-coredata-009-opencode
coredata-009,frameworks,5,opencode,minimax/MiniMax-M3,,true,64.6,completed,8865,649,,,8865,9514,0.0063,0.0034,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111507-coredata-009-opencode
coredata-010,frameworks,6,opencode,minimax/MiniMax-M3,,false,67.6,completed,10926,2692,,,10926,13618,0.0101,0.0065,1,12,0,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata010Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T111612-coredata-010-opencode
coredata-010,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,88.5,completed,8737,1823,,,8737,10560,0.0120,0.0048,1,11,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata010Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T165546-coredata-010-opencode
g2-a11y-001,visual,7,opencode,minimax/MiniMax-M2.7,,true,130.0,completed,827,1559,,,827,2386,0.0088,0.0021,1,1,3,70,1.00,70.0,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied,2026-09-03T134652-g2-a11y-001-opencode
g2-a11y-001,visual,7,opencode,minimax/MiniMax-M3,,false,91.4,completed,10967,977,86794,0,97761,15307,0.0137,0.0097,1,4,3,70,1.00,0.0,uiflow=F;uiflow=P;file=P,"uiflow:4 of 4 UI assertion(s) failed in default: no element on screen shows ""Receipts and invoices""; no element ""receipts-name"" on screen; no element ""receipts-badge"" on screen; no element ""receipts-name"" on screen | uiflow:5 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied",2026-09-03T173820-g2-a11y-001-opencode
g2-a11y-001,visual,7,opencode,minimax/MiniMax-M3,,true,127.4,completed,13259,1693,,,13259,14952,0.0106,0.0060,1,5,2,70,1.00,70.0,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in default | uiflow:5 UI assertion(s) hold in content-size=accessibility-extra-extra-extra-large | file:1 file assertion(s) satisfied,2026-09-03T162939-g2-a11y-001-opencode
g2-a11y-002,visual,7,opencode,minimax/MiniMax-M3,,false,144.4,completed,10937,851,84527,0,95464,17990,0.0168,0.0094,1,2,0,70,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:4 of 4 UI assertion(s) failed in default: no element on screen shows ""Background refresh""; no element on screen shows ""Download quality""; no element on screen shows ""Wi-Fi only""; no element ""refresh-name"" on screen | uiflow:1 of 7 UI assertion(s) failed in content-size=accessibility-extra-extra-extra-large: ""refresh-name"" is 160pt wide, less than 200pt | file:2 file assertion(s) satisfied",2026-09-03T173955-g2-a11y-002-opencode
g2-a11y-002,visual,7,opencode,minimax/MiniMax-M3,,false,179.0,completed,15739,3197,,,15739,18936,0.0146,0.0086,1,20,9,70,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:4 of 4 UI assertion(s) failed in default: no element on screen shows ""Background refresh""; no element on screen shows ""Download quality""; no element on screen shows ""Wi-Fi only""; no element ""refresh-name"" on screen | uiflow:2 of 7 UI assertion(s) failed in content-size=accessibility-extra-extra-extra-large: ""refresh-name"" at (32, 204) 437x63 is outside the window (0, 0) 402x874; ""refresh-name"" at (32, 204) 437x63 overlaps ""refresh-value"" at (207, 204) 134x125 | file:2 file assertion(s) satisfied",2026-09-03T163150-g2-a11y-002-opencode
g2-a11y-002,visual,7,opencode,minimax/MiniMax-M2.7,,false,341.6,completed,2866,8871,,,2866,11737,0.0262,0.0115,1,4,3,70,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:4 of 4 UI assertion(s) failed in default: no element on screen shows ""Background refresh""; no element on screen shows ""Download quality""; no element on screen shows ""Wi-Fi only""; no element ""refresh-name"" on screen | uiflow:1 of 7 UI assertion(s) failed in content-size=accessibility-extra-extra-extra-large: ""refresh-name"" is 161pt wide, less than 200pt | file:2 file assertion(s) satisfied",2026-09-03T134906-g2-a11y-002-opencode
g2-flow-002,interaction,8,opencode,minimax/MiniMax-M3,,false,127.5,completed,6296,814,32896,0,39192,7110,0.0048,0.0048,1,1,1,80,1.00,0.0,uiflow=F;file=P,uiflow:The flow could not be driven in default: step 0 (tap) failed: element not found (after scroll): export-button | file:1 file assertion(s) satisfied,2026-09-03T174225-g2-flow-002-opencode
g2-flow-002,interaction,8,opencode,minimax/MiniMax-M3,,false,85.7,completed,7252,1288,,,7252,8540,0.0061,0.0037,1,1,1,80,1.00,0.0,uiflow=F;file=P,uiflow:The flow could not be driven in default: step 0 (tap) failed: element not found (after scroll): export-button | file:1 file assertion(s) satisfied,2026-09-03T163454-g2-flow-002-opencode
g2-flow-002,interaction,8,opencode,minimax/MiniMax-M2.7,,false,115.2,completed,794,1146,,,794,1940,0.0051,0.0016,1,1,1,80,1.00,0.0,uiflow=F;file=P,uiflow:The flow could not be driven in default: step 0 (tap) failed: element not found (after scroll): export-button | file:1 file assertion(s) satisfied,2026-09-03T135452-g2-flow-002-opencode
g2-flow-003,interaction,7,opencode,minimax/MiniMax-M3,,false,120.5,completed,6457,535,,,6457,6992,0.0050,0.0026,1,1,1,70,1.00,0.0,uiflow=F;uiflow=P;uiflow=P,"uiflow:2 of 3 UI assertion(s) failed in default: no element on screen shows ""Entry 1""; no element on screen shows ""Entry 2"" | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default",2026-09-03T163624-g2-flow-003-opencode
